date,lat,lon,alt,temperature,pressure,humidity,light,ir_light,uv_light,mq3,mq135,mq7,mq4
1433895698121,,,,28.6,1006.3,,,,,31,60,85,46
1433895698330,,,,28.6,1006.35,,,,,31,60,86,46
1433895698537,,,,28.6,1006.36,,,,,31,60,85,46
1433895698747,,,,28.6,1006.36,,,,,31,60,85,46
1433895698960,,,,28.6,1006.44,,,,,31,60,85,46
1433895699175,,,,28.5,1006.4,,,,,31,60,85,46
1433895699383,,,,28.5,1006.4,,,,,31,60,85,46
1433895699592,,,,28.5,1006.42,,,,,31,60,85,46
1433895699802,,,,28.5,1006.5,,,,,31,60,85,46
1433895700014,,,,28.5,1006.52,,,,,31,60,85,46
1433895700223,,,,28.5,1006.54,,,,,31,60,85,46
1433895700430,,,,28.5,1006.56,,,,,30,60,85,46
1433895700642,,,,28.5,1006.52,,,,,30,60,85,46
1433895700850,,,,28.5,1006.51,,,,,30,59,85,46
1433895701058,,,,28.5,1006.61,,,,,31,59,85,46
1433895701267,,,,28.5,1006.56,,,,,30,59,85,46
1433895701475,,,,28.5,1006.49,,,,,30,59,85,46
1433895701682,,,,28.5,1006.54,,,,,30,59,85,45
1433895701890,,,,28.5,1006.5,,,,,30,59,85,45
1433895702098,,,,28.5,1006.63,,,,,31,59,85,45
1433895702307,,,,28.4,1006.63,,,,,31,59,85,45
1433895702514,,,,28.4,1006.69,,,,,31,59,85,45
1433895702722,,,,28.4,1006.59,,,,,31,59,84,45
1433895702930,,,,28.4,1006.67,,,,,30,59,85,45
1433895703138,,,,28.4,1006.61,,,,,30,59,85,46
1433895703346,,,,28.4,1006.6,,,,,30,59,84,45
1433895703554,,,,28.3,1006.73,,,,,30,59,85,45
1433895703762,,,,28.3,1006.65,,,,,30,59,85,45
1433895703970,,,,28.3,1006.74,,,,,30,59,84,45
1433895704182,,,,28.3,1006.67,,,,,30,59,85,45
1433895704390,,,,28.3,1006.77,,,,,30,59,84,45
1433895704598,,,,28.2,1006.74,,,,,30,59,84,45
1433895704805,,,,28.2,1006.8,,,,,30,59,84,45
1433895705014,,,,28.2,1006.79,,,,,30,59,84,45
1433895705222,,,,28.2,1006.82,,,,,30,59,84,45
1433895705431,,,,28.1,1006.87,,,,,30,59,84,45
1433895705640,,,,28.1,1006.96,,,,,30,59,85,45
1433895705848,,,,28.1,1006.84,,,,,30,59,84,45
1433895706058,,,,28.1,1006.87,,,,,30,59,84,45
1433895706269,,,,28,1006.83,,,,,30,59,84,45
1433895706479,,,,28,1006.89,,,,,30,59,84,45
1433895706687,,,,28,1006.9,,,,,31,60,84,45
1433895706895,,,,28,1006.84,,,,,31,60,84,45
1433895707102,,,,27.9,1006.87,,,,,30,60,84,45
1433895707311,,,,27.9,1006.76,,,,,30,60,84,45
1433895707518,,,,28,1006.74,,,,,30,60,84,45
1433895707727,,,,28,1006.88,,,,,31,60,84,45
1433895707943,,,,27.9,1006.88,,,,,30,60,84,45
1433895708157,,,,27.9,1006.84,,,,,30,60,84,46
1433895708371,,,,27.9,1006.86,,,,,30,60,84,46
1433895708582,,,,27.9,1006.91,,,,,30,60,84,46
1433895708792,,,,27.9,1006.87,,,,,31,60,84,46
1433895709001,,,,28,1006.84,,,,,31,60,84,46
1433895709209,,,,28,1006.81,,,,,31,61,83,46
1433895709416,,,,28,1006.83,,,,,31,60,84,46
1433895709624,,,,28,1006.86,,,,,31,60,84,46
1433895709831,,,,28,1006.76,,,,,31,60,83,46
1433895710040,,,,28,1006.79,,,,,31,60,83,46
1433895710251,,,,28,1006.9,,,,,30,60,83,46
1433895710470,,,,28,1006.88,,,,,30,60,84,46
1433895710682,,,,28,1006.95,,,,,30,60,84,46
1433895710890,,,,28,1007.01,,,,,30,60,83,46
1433895711099,,,,28,1006.96,,,,,30,60,83,46
1433895711307,,,,28,1006.98,,,,,30,60,83,46
1433895711515,,,,28,1007.03,,,,,30,60,83,46
1433895711722,,,,28,1007.05,,,,,30,60,83,46
1433895711930,,,,28,1007.01,,,,,30,60,83,46
1433895712139,,,,28,1007.04,,,,,30,60,83,46
1433895712348,,,,28,1006.98,,,,,30,60,83,46
1433895712556,,,,28.1,1007.01,,,,,30,60,83,46
1433895712771,,,,28.1,1006.99,,,,,30,60,83,46
1433895712984,,,,28.1,1006.96,,,,,30,60,83,46
1433895713194,,,,28.1,1006.95,,,,,30,60,83,46
1433895713403,,,,28.1,1007.03,,,,,30,60,83,46
1433895713611,,,,28.1,1007.1,,,,,30,60,83,46
1433895713819,,,,28.1,1007.07,,,,,30,60,83,46
1433895714026,,,,28.1,1007.01,,,,,30,60,83,46
1433895714234,,,,28.1,1007.16,,,,,30,60,83,46
1433895714442,,,,28.1,1007,,,,,31,60,83,46
1433895714650,,,,28.1,1007.01,,,,,31,60,83,46
1433895714858,,,,28.1,1007.04,,,,,31,60,83,46
1433895715066,,,,28.1,1007.02,,,,,30,60,83,46
1433895715274,,,,28.1,1007,,,,,30,60,83,46
1433895715482,,,,28.1,1007.18,,,,,30,60,83,46
1433895715690,,,,28.1,1007.18,,,,,30,60,83,46
1433895715898,,,,28.1,1007.16,,,,,30,60,83,46
1433895716106,,,,28,1007.12,,,,,30,60,83,46
1433895716315,,,,28,1007.18,,,,,30,60,83,46
1433895716523,,,,28,1007.17,,,,,30,60,83,46
1433895716731,,,,28,1007.11,,,,,30,60,83,46
1433895716939,,,,27.9,1007.16,,,,,30,60,83,46
1433895717152,,,,27.9,1007.27,,,,,30,60,83,46
1433895717366,,,,27.9,1007.25,,,,,30,60,83,46
1433895717578,,,,27.9,1007.17,,,,,30,60,83,46
1433895717796,,,,27.9,1007.25,,,,,30,60,83,46
1433895718012,,,,27.9,1007.18,,,,,30,60,83,46
1433895718221,,,,27.9,1007.25,,,,,30,60,83,46
1433895718429,,,,27.9,1007.34,,,,,30,60,83,46
1433895718640,,,,27.8,1007.3,,,,,30,60,83,46
1433895718849,,,,27.8,1007.24,,,,,30,60,83,46
1433895719064,,,,27.8,1007.22,,,,,30,60,83,46
1433895719280,,,,27.8,1007.28,,,,,30,60,84,46
1433895719495,,,,27.9,1007.18,,,,,30,61,83,46
1433895719704,,,,27.8,1007.2,,,,,30,61,83,46
1433895719914,,,,27.9,1007.19,,,,,30,61,83,46
1433895720123,,,,27.9,1007.23,,,,,30,61,83,46
1433895720331,,,,27.9,1007.21,,,,,30,61,83,46
1433895720539,,,,27.8,1007.33,,,,,30,61,83,46
1433895720747,,,,27.8,1007.22,,,,,30,60,83,46
1433895720955,,,,27.9,1007.19,,,,,30,60,83,46
1433895721163,,,,27.9,1007.2,,,,,30,61,83,46
1433895721371,,,,27.9,1007.28,,,,,31,61,83,46
1433895721578,,,,27.9,1007.26,,,,,30,61,83,46
1433895721785,,,,27.9,1007.26,,,,,30,60,83,46
1433895721992,,,,27.9,1007.3,,,,,30,60,83,46
1433895722200,,,,27.9,1007.37,,,,,30,61,83,46
1433895722408,,,,27.9,1007.27,,,,,30,61,83,46
1433895722614,,,,27.9,1007.31,,,,,30,61,83,46
1433895722821,,,,27.9,1007.29,,,,,31,61,83,46
1433895723028,,,,27.9,1007.26,,,,,31,60,83,46
1433895723236,,,,27.9,1007.24,,,,,31,60,83,46
1433895723443,,,,27.9,1007.21,,,,,30,61,83,46
1433895723652,,,,27.9,1007.26,,,,,30,61,83,46
1433895723861,,,,28,1007.31,,,,,30,61,83,46
1433895724068,,,,28,1007.33,,,,,30,60,83,46
1433895724275,,,,28,1007.25,,,,,31,60,83,46
1433895724483,,,,28,1007.18,,,,,30,60,83,46
1433895724691,,,,28,1007.28,,,,,30,60,83,46
